"","Table","Model","Variable","Hazard Ratio"
"81","3","3 Female","EducationGroupHS","1.43 (0.85-2.39, p=0.170)"
"82","3","3 Female","EducationGroupMissing","1.59 (0.90-2.80, p=0.110)"
"83","3","3 Female","Bone Loss","1.26 (1.03-1.55, p=0.026)"
"84","3","3 Male","Baseline BMD","3.29 (0.49-21.97, p=0.220)"
"85","3","3 Male","Age at Baseline Visit","1.18 (1.12-1.23, p<0.001)"
"86","3","3 Male","≥1 APOE ε4 allele","1.40 (0.77-2.54, p=0.270)"
"87","3","3 Male","BMI at Baseline Visit","0.98 (0.92-1.05, p=0.620)"
"88","3","3 Male","EducationGroupHS","1.20 (0.65-2.19, p=0.560)"
"89","3","3 Male","EducationGroupMissing","1.29 (0.67-2.49, p=0.440)"
"90","3","3 Male","Bone Loss","1.38 (1.04-1.81, p=0.023)"
